Country,ISO Code,id #,Latitude,Longitude,BCM,Avg. temp (K),Ellipticity,Detection freq.,Clear obs.,Type,Years,Tanggal (Date),anomaly,anomaly_score,efficiency,predicted_efficiency,status_efficiency
Indonesia,IDN,9199,1.26082,101.133598,6.320367507682002e-05,1863.2913278978208,2.11757,83.4951,0,upstream,2019,2019-01-01,1,0.0582587932198364,92.3125457712962,92.26949190736708,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.9579876003136085e-05,1765.0905924144067,2.11757,83.4951,0,upstream,2019,2019-01-02,1,0.03061768028818823,91.69291832383045,91.70447864357007,Baik
Indonesia,IDN,9199,1.26082,101.133598,7.701740732162085e-05,1885.2274595252445,2.11757,83.4951,0,upstream,2019,2019-01-03,-1,-0.06563665560524878,91.15053386309036,91.13688951738355,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.755926928879071e-05,1877.605864503436,2.11757,83.4951,0,upstream,2019,2019-01-04,1,0.0688956476869736,93.02013171615528,93.00465266050652,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.5757019645500967e-05,1804.2603648573177,2.11757,83.4951,1,upstream,2019,2019-01-05,1,0.11119850161655781,92.46690168402309,92.46355928874395,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.923381642271115e-05,1804.2248310878645,2.11757,83.4951,0,upstream,2019,2019-01-06,1,0.0944636755000618,92.11886666860754,92.1192257471481,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.9554445225192576e-05,1853.0317664475745,2.11757,83.4951,1,upstream,2019,2019-01-07,1,0.08252867845303613,92.57487314195649,92.56914000571409,Baik
Indonesia,IDN,9199,1.26082,101.133598,6.720317563475343e-05,1834.644547147314,2.11757,83.4951,0,upstream,2019,2019-01-08,1,0.04707040890341496,91.6261279079978,91.6277659270595,Baik
Indonesia,IDN,9199,1.26082,101.133598,4.757946478219329e-05,1871.9944249691257,2.11757,83.4951,1,upstream,2019,2019-01-09,1,0.11353543879763789,93.96199777147193,93.94735690754136,Baik
Indonesia,IDN,9199,1.26082,101.133598,6.591662869282329e-05,1851.8759247695648,2.11757,83.4951,0,upstream,2019,2019-01-10,1,0.05145574569986466,91.92709637841331,91.93235492601227,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.857959498477553e-05,1890.4966702028853,2.11757,83.4951,1,upstream,2019,2019-01-11,1,0.04178647285985637,93.0470072035513,93.0394133133214,Baik
Indonesia,IDN,9199,1.26082,101.133598,6.857741679759247e-05,1869.0433146413875,2.11757,83.4951,1,upstream,2019,2019-01-12,1,0.008155386440726331,91.83269146665464,91.83292967905248,Baik
Indonesia,IDN,9199,1.26082,101.133598,6.232385599415635e-05,1860.317649134327,2.11757,83.4951,0,upstream,2019,2019-01-13,1,0.06466910164925199,92.37079089192764,92.37226616666776,Baik
Indonesia,IDN,9199,1.26082,101.133598,6.661951779278035e-05,1822.766227203778,2.11757,83.4951,0,upstream,2019,2019-01-14,1,0.052760492755308364,91.56571049275973,91.5626477878955,Baik
Indonesia,IDN,9199,1.26082,101.133598,5.971645881828893e-05,1820.2043492187424,2.11757,83.4951,1,upstream,2019,2019-01-15,1,0.10262236857274437,92.23039761035854,92.22601456660203,Baik
Indonesia,IDN,9199,1.26082,101.133598,0.0002081321188588,2415.4972541812253,2.11757,83.4951,1,upstream,2019,2019-01-16,-1,-0.25410351976022016,83.34176065593225,83.2260474606641,Buruk
Indonesia,IDN,9199,1.26082,101.133598,6.600762361445507e-05,1833.2790279497208,2.11757,83.4951,0,upstream,2019,2019-01-17,1,0.059900877930235796,91.7320279180517,91.72900560300454,Baik
Indonesia,IDN,9199,1.26082,101.133598,7.530488747011265e-05,1899.523599862209,2.11757,83.4951,0,upstream,2019,2019-01-18,-1,-0.06075605627966807,91.46474725161083,91.49173218731904,Baik
